n	L2be1	Linfbe1	L2be8	Linfbe8	L2be64	Linfbe64
25	5.48741178572076e-05	1.48950802054126e-05	0.00711585173429453	0.00291271532364101	0.188790875353292	0.188751889497908
50	1.99711688203383e-05	3.87037738841522e-06	0.00257449499990746	0.000751943182876746	0.0642874943838879	0.0561881355564962
100	7.16569857415459e-06	9.86954859671929e-07	0.000922268244833505	0.000191545198591658	0.021689153927891	0.012433044726105
200	2.55235927174125e-06	2.49202319335673e-07	0.00032836958187499	4.83643922083998e-05	0.00755106862989409	0.00314007404400007
