n	L2be1	Linfbe1	L2be8	Linfbe8	L2be64	Linfbe64
25	0.00835207222684198	0.00226670326542822	0.12626463094229	0.049571066716914	0.218756208199022	0.203585275253043
50	0.00603468013172162	0.00116936328906964	0.0938770735766558	0.0269214123486884	0.209341268753665	0.158374462662467
100	0.0043148351290253	0.000594262435235859	0.0681967200355651	0.0140392928656117	0.170281529265908	0.0931090141950957
200	0.00306829860658485	0.000299568567819042	0.0489051027424531	0.00716882220255533	0.129709340698101	0.051639641898852
