n	L2be1	Linfbe1
25	5.48741178452737e-05	1.48950802020265e-05
50	1.99711688084687e-05	3.87037738691642e-06
100	7.1656985569195e-06	9.86954857826183e-07
200	2.55235960131555e-06	2.49202354390965e-07
