x	uextbe1	uapxbe1	ebe1
0.0099009900990099	0.00411022463614585	0.00411025193264689	2.72965012563728e-08
0.0198019801980198	0.00816283018848632	0.00816288458005633	5.43915702356373e-08
0.0297029702970297	0.012157243337511	0.0121573246160071	8.12784963048763e-08
0.0396039603960396	0.0160928850590853	0.0160929930095393	1.07950454221462e-07
0.0495049504950495	0.0199691705676869	0.0199693049681912	1.34400504447907e-07
0.0594059405940594	0.0237855092590806	0.0237856698806703	1.60621589927884e-07
0.0693069306930693	0.0275413046524195	0.0275414912589551	1.86606535799994e-07
0.0792079207920792	0.0312359543317734	0.0312361666798198	2.12348046608329e-07
0.0891089108910891	0.0348688498870727	0.0348690877257775	2.3783870504307e-07
0.099009900990099	0.038439376854466	0.0384396399254363	2.63070970459023e-07
0.108910891089109	0.0419469146560836	0.0419472026932606	2.88037177213762e-07
0.118811881188119	0.0453908365392029	0.0453911492687349	3.12729532193912e-07
0.128712871287129	0.0487705095148064	0.0487708466549203	3.37140114069212e-07
0.138613861386139	0.0520852942955303	0.0520856555564009	3.61260870773705e-07
0.148514851485149	0.0553345452329954	0.0553349303166126	3.85083617431004e-07
0.158415841584158	0.0585176102545122	0.0585180188545477	4.08600035688156e-07
0.168316831683168	0.0616338307991595	0.0616342626008303	4.31801670940091e-07
0.178217821782178	0.064682541753225	0.0646829964331554	4.54679930636526e-07
0.188118811881188	0.0676630713850037	0.0676635486110856	4.77226082110094e-07
0.198019801980198	0.0705747412789482	0.0705752407101991	4.99431251174687e-07
0.207920792079208	0.0734168662691624	0.0734173875555823	5.21286420127054e-07
0.217821782178218	0.0761887543722358	0.0761892971546608	5.42782425227983e-07
0.227722772277228	0.0788897067194068	0.0788902706293618	5.63909955245134e-07
0.237623762376238	0.0815190174880533	0.0815196021476021	5.84659549010547e-07
0.247524752475248	0.0840759738324997	0.0840765788540934	6.05021593852451e-07
0.257425742574257	0.0865598558141374	0.0865604808004601	6.24986322875221e-07
0.267326732673267	0.0889699363308481	0.0889705808746612	6.44543813307918e-07
0.277227722772277	0.0913054810457258	0.09130614472971	6.63683984478136e-07
0.287128712871287	0.0935657483150896	0.0935664307116846	6.82396595258483e-07
0.297029702970297	0.0957499891157805	0.095750689787022	7.00671241707362e-07
0.306930693069307	0.0978574469717336	0.0978581654690891	7.18497355722825e-07
0.316831683168317	0.0998873578798206	0.0998880937440224	7.35864202003333e-07
0.326732673267327	0.101838950234955	0.101839702995831	7.52760875966096e-07
0.336633663366337	0.10371144475445	0.103712213930751	7.69176301415597e-07
0.346534653465347	0.105504054401626	0.105504839500855	7.85099228711728e-07
0.356435643564356	0.107215984308658	0.10721678482689	8.00518231772185e-07
0.366336633663366	0.108846431698653	0.108847247120358	8.15421705407937e-07
0.376237623762376	0.110394585806952	0.110395415604816	8.29797864004833e-07
0.386138613861386	0.111859627801654	0.111860471436392	8.43634738137422e-07
0.396039603960396	0.113240730703344	0.113241587623517	8.56920172695452e-07
0.405940594059406	0.114537059304023	0.114537928945847	8.69641823650347e-07
0.415841584158416	0.115747770085232	0.115748651872388	8.8178715612619e-07
0.425742574257426	0.116872011135365	0.116872904478806	8.9334344176295e-07
0.435643564356436	0.117908922066149	0.117909826363905	9.04297755760508e-07
0.445544554455446	0.118857633928308	0.118858548565282	9.14636974658212e-07
0.455445544554455	0.119717269126374	0.119718193474147	9.24347772823797e-07
0.465346534653465	0.120486941332657	0.120487874749278	9.33416621190508e-07
0.475247524752475	0.121165755400359	0.121166697230142	9.4182978303825e-07
0.485148514851485	0.121752807275822	0.121753756849134	9.49573312092333e-07
0.495049504950495	0.122247183909902	0.122248140542951	9.56633049567501e-07
0.504950495049505	0.122647963168465	0.122648926163085	9.62994620670732e-07
0.514851485148515	0.122954213741987	0.12295518238542	9.68643433171823e-07
0.524752475247525	0.123164995054259	0.123165968618931	9.73564672601679e-07
0.534653465346535	0.123279357170182	0.123280334913483	9.77743300920042e-07
0.544554455445545	0.123296340702644	0.123297321866696	9.8116405251869e-07
0.554455445544555	0.12321497671847	0.123215960529902	9.83811431681803e-07
0.564356435643564	0.12303428664344	0.123035272313149	9.85669709324677e-07
0.574257425742574	0.122753282166355	0.122754268889274	9.86722919857352e-07
0.584158415841584	0.122370965142155	0.122371952097013	9.86954858048228e-07
0.594059405940594	0.121886327494071	0.121887313843147	9.86349076012583e-07
0.603960396039604	0.1212983511148	0.121299336003679	9.84888879784762e-07
0.613861386138614	0.120606007766703	0.120606990324029	9.82557326223432e-07
0.623762376237624	0.119808258981003	0.119809238318222	9.79337219458865e-07
0.633663366336634	0.118904055955986	0.118905031167094	9.75211107909213e-07
0.643564356435643	0.117892339454186	0.117893309615466	9.70161280394732e-07
0.653465346534653	0.116772039698548	0.116773003868311	9.64169762973643e-07
0.663366336633663	0.115542076267554	0.115543033485869	9.57218315736363e-07
0.673267326732673	0.114201357989314	0.114202307277742	9.4928842876707e-07
0.683168316831683	0.112748782834593	0.112749723195912	9.40361319118344e-07
0.693069306930693	0.111183237808784	0.111184168226711	9.30417926620075e-07
0.702970297029703	0.109503598842795	0.109504518281706	9.19438910604309e-07
0.712871287128713	0.107708730682861	0.107709638087507	9.07404646630083e-07
0.722772277227723	0.105797486779249	0.10579838107447	8.94295221459673e-07
0.732673267326733	0.103768709173869	0.103769589264299	8.8009043010262e-07
0.742574257425743	0.101621228386751	0.101622093156523	8.64769772707108e-07
0.752475247524752	0.0993538633014053	0.0993547116138544	8.48312449300281e-07
0.762376237623762	0.0969654210490364	0.0969662517463928	8.3069735662411e-07
