N	L2S100beta0	LinfS100beta0	H1S100beta0	L2S1000beta0	LinfS1000beta0	H1S1000beta0	L2S10000beta0	LinfS10000beta0	H1S10000beta0
10	4.67363467552728e-08	1.4796523443994e-08	1.16697235745061e-13	4.63948277875586e-08	1.47642788220909e-08	1.16218342855722e-13	4.34701434486856e-08	1.4709862557194e-08	1.118003051533e-13
20	4.11992911078288e-09	9.28051788195994e-10	1.82834642297405e-15	4.1007819937443e-09	9.23795189650134e-10	1.81590237427351e-15	3.84103936630638e-09	9.29929390436346e-10	1.74683607714655e-15
40	3.45328237269242e-10	6.29416605640865e-11	2.85860951790936e-17	3.62705431219483e-10	5.78117744648443e-11	2.83740295125617e-17	3.39459392790283e-10	5.84704801936953e-11	2.72941126689018e-17
