N	L2S100beta0	LinfS100beta0	H1S100beta0	L2S1000beta0	LinfS1000beta0	H1S1000beta0	L2S10000beta0	LinfS10000beta0	H1S10000beta0
10	2.61192666572513e-08	5.85228544704858e-09	2.30530412611405e-14	2.60800401242162e-08	5.84258416994055e-09	2.29562521369555e-14	2.55733103425918e-08	5.83172443321955e-09	2.20781587370197e-14
20	2.29017029862455e-09	3.73940252894334e-10	3.61921368630325e-16	2.30543408006221e-09	3.6528065430275e-10	3.58686852591385e-16	2.26081311956366e-09	3.65455471440512e-10	3.45031139497457e-16
40	1.82672227965362e-10	3.15374133058599e-11	6.54943166269627e-18	2.04048414331596e-10	2.294552915727e-11	5.60606566181063e-18	1.9977712772562e-10	2.2860425358262e-11	5.39135774864012e-18
