Var1	uextS100	uapxS100	eS100	uextS1000	uapxS1000	eS1000	uextS10000	uapxS10000	eS10000
0.0125	0.000147876050959894	0.000147875995385696	5.55744199574534e-11	0.000147499027107756	0.00014749896938926	5.77187180157961e-11	0.000143833065965548	0.000143833008519711	5.74460598990086e-11
0.025	0.00029547878170888	0.00029547878535976	3.65110236965824e-12	0.00029472532219188	0.000294725322353217	1.61558700445541e-13	0.000287399128938048	0.000287399129447082	5.09255777738499e-13
0.0375	0.000442541227130278	0.000442541175435498	5.16950014154034e-11	0.000441412510028272	0.000441412452375371	5.76531229983142e-11	0.000430437531930838	0.000430437475172144	5.67589167940058e-11
0.05	0.00058880336268885	0.000588803369071763	6.38313468921681e-12	0.000587301148371466	0.000587301148593409	2.22165059786394e-13	0.00057269453037101	0.00057269453136179	9.91002419015175e-13
0.0625	0.00073401209306212	0.000734012042821411	5.02409306648785e-11	0.000732138727812526	0.000732138670261408	5.75513402125555e-11	0.000713923280836859	0.000713923224726195	5.61108859029047e-11
0.075	0.000877921274877735	0.00087792127093989	3.93806732015833e-12	0.000875679669647411	0.000875679669863611	2.16422149298956e-13	0.000853883830105318	0.00085388383155012	1.44502400496738e-12
0.0875	0.00102029165418571	0.00102029160056981	5.36161241272703e-11	0.0010176853253796	0.00101768526793708	5.74427447882359e-11	0.000992343104494253	0.000992343048993679	5.55007966668297e-11
0.1	0.00116089096877658	0.00116089097632655	7.55019072436192e-12	0.00115792397565428	0.0011579239759563	3.02235016527708e-13	0.00112907489952141	0.00112907490139429	1.87310258449591e-12
0.1125	0.00129949386860062	0.00129949381551732	5.30835200015373e-11	0.00129617082890832	0.00129617077149983	5.74087062610307e-11	0.00126385986986266	0.0012638598149369	5.49259841168409e-11
0.125	0.00143588193282085	0.0014358819327054	1.15667891931182e-13	0.00143220802065969	0.00143220802092217	2.62706523201928e-13	0.00139648551961358	0.00139648552188745	2.27409562535141e-12
0.1375	0.00156984366981305	0.00156984361496205	5.48512266423246e-11	0.00156582461229959	0.00156582455484796	5.74518596758999e-11	0.00152674619285653	0.0015267461384683	5.4388451858553e-11
0.15	0.00170117454558749	0.00170117454641105	8.23783099027087e-13	0.00169681659023979	0.00169681659064743	4.07859943735156e-13	0.0016544430645351	0.00165444306718381	2.64892773514658e-12
0.1625	0.00182967693831415	0.00182967688351181	5.48025620109721e-11	0.00182498686562838	0.00182498680824185	5.73867442281439e-11	0.00177938413162382	0.00177938407773714	5.38868997167208e-11
0.175	0.00195516017811315	0.00195516017958584	1.47291553953544e-12	0.00195014527193393	0.00195014527239892	4.65210986053122e-13	0.00190138420461095	0.00190138420760819	2.99746599069506e-12
0.1875	0.00207744051294867	0.00207744046012939	5.28195005095045e-11	0.00207210856608242	0.00207210850883296	5.72496841599879e-11	0.00202026489927132	0.00202026484584862	5.34229162643673e-11
0.2	0.00219634114841938	0.00219634114732355	1.09604556333687e-12	0.0021907004258992	0.00219070042633667	4.37696320160219e-13	0.0021358546287531	0.00213585463207204	3.31916091833584e-12
0.2125	0.00231169219091498	0.00231169213537479	5.55404181847019e-11	0.00230575145039325	0.00230575139315972	5.7233750724861e-11	0.00224798859595898	0.00224798854296454	5.29946659472147e-11
0.225	0.00242333071582834	0.00242333071501022	8.18342789365989e-13	0.00241709915854926	0.00241709915899321	4.44169874491696e-13	0.00235650878623206	0.00235650878984677	3.6149282352238e-12
0.2375	0.00253110069934337	0.00253110064884448	5.04991105355901e-11	0.00252458798883026	0.00252458793161022	5.72202632498353e-11	0.00246126396034008	0.00246126390773782	5.26024783627232e-11
0.25	0.00263485309233147	0.00263485309586185	3.53060029129049e-12	0.00262806929825388	0.00262806929871938	4.65725548404183e-13	0.00256210964776438	0.00256210965164851	3.88435204140558e-12
0.2625	0.00273444574077075	0.00273444568680769	5.39632869639428e-11	0.00272740136203709	0.00272740130485097	5.71863415996243e-11	0.00265890814028369	0.00265890808803689	5.22470244151974e-11
0.275	0.0028297434482738	0.00282974344865916	3.85580022771448e-13	0.0028224493725304	0.00282244937309597	5.65793505796774e-13	0.00275152848586346	0.00275152848999188	4.1286362349735e-12
