Var1	uextS100	uapxS100	eS100	uextS1000	uapxS1000	eS1000	uextS10000	uapxS10000	eS10000
0.025	0.00029547878170888	0.000295477860694664	9.21014437892803e-10	0.00029472532219188	0.000294724398673363	9.23518739129672e-10	0.000287399128938048	0.000287398215223735	9.1371453529417e-10
0.05	0.00058880336268885	0.000588803369227793	6.53916460910398e-12	0.000587301148371466	0.000587301150145621	1.77437654413221e-12	0.00057269453037101	0.000572694546219272	1.58484846340262e-11
0.075	0.000877921274877735	0.00087792034648171	9.28396247574549e-10	0.000875679669647411	0.000875678748243564	9.21404069579093e-10	0.000853883830105318	0.000853882937134971	8.92970568257441e-10
0.1	0.00116089096877658	0.00116089097662219	7.84582663594657e-12	0.00115792397565428	0.00115792397889675	3.24268845282305e-12	0.00112907489952141	0.0011290749294884	2.99672112211852e-11
0.125	0.00143588193282085	0.00143588100843114	9.24389927233968e-10	0.00143220802065969	0.00143220710113245	9.19527459166888e-10	0.00139648551961358	0.00139648464501878	8.74595014466184e-10
0.15	0.00170117454558749	0.00170117454682987	1.24259825519391e-12	0.00169681659023979	0.00169681659481236	4.57279396640087e-12	0.0016544430645351	0.00165444310691274	4.23778609860009e-11
0.175	0.00195516017811315	0.00195515925547251	9.22640862148494e-10	0.00195014527193393	0.00195014435421028	9.17723877794097e-10	0.00190138420461095	0.00190138334604586	8.58565303921144e-10
0.2	0.00219634114841938	0.00219634114784912	5.70482897033209e-13	0.0021907004258992	0.00219070043156249	5.6635165307517e-12	0.0021358546287531	0.00213585468185081	5.30979309999735e-11
0.225	0.00242333071582834	0.00242332979103482	9.24793743754121e-10	0.00241709915854926	0.00241709824217657	9.16372915917008e-10	0.00235650878623206	0.00235650794136944	8.44862838109833e-10
0.25	0.00263485309233147	0.00263485309647773	4.14648350377522e-12	0.00262806929825388	0.00262806930484262	6.58896982114188e-12	0.00256210964776438	0.00256210970990659	6.21424370295109e-11
0.275	0.0028297434482738	0.00282974252479869	9.23475333963059e-10	0.0028224493725304	0.00282244845742241	9.15108211863719e-10	0.00275152848586346	0.00275152765239426	8.33469428456607e-10
0.3	0.00300694787824796	0.00300694787636915	1.87902991777289e-12	0.00299918858779336	0.00299918859516832	7.37518249596669e-12	0.00292374467442835	0.00292374474395282	6.95246876562805e-11
0.325	0.00316552341814713	0.0031655224970564	9.21090956979009e-10	0.00315734680995661	0.00315734589574279	9.14214039540728e-10	0.003077845507514	0.00307784468314157	8.24372652172972e-10
0.35	0.00330463806221815	0.00330463806869641	6.47848224719083e-12	0.0032960945485172	0.00329609455649184	7.97485601861103e-12	0.00321302603727913	0.0032130261125349	7.52559859047708e-11
0.375	0.00342357073463972	0.0034235698156795	9.18960442464201e-10	0.00341471294127871	0.00341471202784537	9.13433563596439e-10	0.00332858893105747	0.00332858811349859	8.17559102014864e-10
0.4	0.00352171129520684	0.00352171129542323	2.16614053083486e-13	0.00351259374205881	0.00351259375059188	8.53329256214619e-12	0.00342394434753857	0.00342394442688146	7.93431149774537e-11
0.425	0.00359856052227769	0.00359855960569342	9.16584500573053e-10	0.00358923930960486	0.00358923839661101	9.12994073138523e-10	0.00349860983203643	0.00349860901901479	8.13021859905061e-10
0.45	0.00365373016961712	0.00365373017518205	5.56515250549339e-12	0.00364426259856998	0.00364426260719607	8.62631537382197e-12	0.00355221023082608	0.00355221031261991	8.17940554696805e-11
0.475	0.00368694289250016	0.00368694197145869	9.21041683459717e-10	0.00367738715283395	0.00367738624007051	9.12763659360188e-10	0.0035844776245324	0.00358447681377885	8.10753776180756e-10
