N	L2S100	LinfS100	H1S100	L2S1000	LinfS1000	H1S1000	L2S10000	LinfS10000	H1S10000
10	4.67366621470515e-08	1.47865030030283e-08	1.16658152076586e-13	4.63895199768418e-08	1.47611633763639e-08	1.16213773159186e-13	4.30828784609601e-08	1.44585986164422e-08	1.11466423420582e-13
20	4.12190887136436e-09	9.28396025529944e-10	1.82475354547519e-15	4.09976514461636e-09	9.23518534974403e-10	1.81582306914277e-15	3.80673665751751e-09	9.13715208366878e-10	1.74162012192949e-15
40	3.39225346622091e-10	5.78407243975732e-11	2.6781551839751e-17	3.61930065281382e-10	5.77185102284498e-11	2.83857268549571e-17	3.36441268693301e-10	5.74458378544036e-11	2.72126590719519e-17
