Var1	uextS100beta0	uapxS100beta0	eS100beta0	uapxS100beta20000000000	uapxS100beta20000000000000	uextS1000beta0	uapxS1000beta0	eS1000beta0	uapxS1000beta20000000000	uapxS1000beta20000000000000	uextS10000beta0	uapxS10000beta0	eS10000beta0	uapxS10000beta20000000000	uapxS10000beta20000000000000
0.05	0.00117965255981289	0.00117963777143877	1.47883743458442e-08	0.000591379363792104	0.000588791178372249	0.0011692023763743	0.0011691876149105	1.47614640259516e-08	0.000589859523885509	0.000587288971762102	0.00107519120527622	0.00107517673423601	1.44710404258522e-08	0.000575085004358675	0.000572682488258641
0.1	0.00234259356375333	0.00234259356822963	4.47652895654849e-12	0.00116607257496169	0.00116089618573996	0.00232176776002291	0.00232176780985458	4.98318955544086e-11	0.00116307048205137	0.00115792919523563	0.00213442515729723	0.00213442561616307	4.58866067972602e-10	0.00113388695239542	0.0011290802137417
0.15	0.00347373891713687	0.00347372413095706	1.47861800290673e-08	0.0017089321960909	0.00170116756630317	0.00344268559075545	0.00344267089031647	1.47004392010014e-08	0.00170452203150109	0.00169680964484309	0.00316336097461356	0.00316334706690587	1.39077079141375e-08	0.00166165082577274	0.00165443645052688
0.2	0.00455977988735867	0.00455977990118913	1.38306744529304e-11	0.00220670449068222	0.00219635156518192	0.00451871863958786	0.00451871872826174	8.86741045175166e-11	0.00220099488948507	0.00219071085522617	0.00414941192921736	0.0041494127374561	8.08238957532292e-10	0.00214549229757734	0.00213586516152935
0.25	0.00558918299589095	0.00558916821811196	1.47777792138676e-08	0.0026477926197731	0.00263485132503089	0.00553840206848122	0.00553838741367151	1.4654809930674e-08	0.00264092398308607	0.00262806757082267	0.00508173650656518	0.0050817230124361	1.34941293078797e-08	0.00257415506750985	0.00256210833288157
0.3	0.00655218992164919	0.00655218993369643	1.20474602516296e-11	0.00302249325705907	0.0030069635011623	0.00649204261534919	0.00649204273161515	1.16266184180258e-10	0.00301463392200438	0.00299920421863252	0.00595123070519454	0.00595123175535588	1.0501615601427e-09	0.00293823523574302	0.00292376034600727
0.35	0.00744081742709568	0.00744080265639263	1.47707032707375e-08	0.00332275983257646	0.00330464150522851	0.00737171790710534	0.00737170328265509	1.46244504700688e-08	0.00331410211779216	0.00329609802744703	0.00675052157042177	0.00675050834218799	1.32282340073106e-08	0.00322994323431882	0.00321302990852764
0.4	0.00824885735255521	0.00824885737302958	2.04745942422591e-11	0.00354243915455058	0.00352173212707006	0.00817127589520794	0.00817127602790682	1.32699098237543e-10	0.00353319432384405	0.00351261456781698	0.00747396195756433	0.00747396314362496	1.18606084415634e-09	0.00344332886854653	0.00342396509354146
0.45	0.00897187650252818	0.00897186173284373	1.47696846645312e-08	0.00367703469342033	0.0036537388187402	0.00888633442038156	0.00888631981101737	1.46093644074613e-08	0.00366742815698322	0.00364427127363688	0.00811762652094572	0.00811761341226436	1.31086815863962e-08	0.0035740471681158	0.0035522191905649
0.5	0.00960721666274367	0.00960721668283397	2.00905264646778e-11	0.00372394321713377	0.00369805832980026	0.0095142809001203	0.00951428103813045	1.38010368758157e-10	0.00371420877157374	0.00368847311623145	0.00867930892584168	0.00867931014259298	1.21675152245371e-09	0.00361958473550815	0.00359527705148534
