N	L2S100	LinfS100	H1S100	L2S1000	LinfS1000	H1S1000	L2S10000	LinfS10000	H1S10000
10	2.61306270899649e-08	5.84840497471623e-09	2.30570560915884e-14	2.60791292083472e-08	5.84230898734031e-09	2.29555265802179e-14	2.55348889265997e-08	5.81486920973092e-09	2.20122358234964e-14
20	2.29854140623334e-09	3.69194359545882e-10	3.62386528774829e-16	2.30462872055652e-09	3.65131930496043e-10	3.58693889486509e-16	2.25742352619541e-09	3.64382553996604e-10	3.44001239068424e-16
40	1.90427839154363e-10	2.8125799866191e-11	6.44034289399565e-18	2.03033782560734e-10	2.27722144526682e-11	5.6113158606521e-18	1.99539134119336e-10	2.28040887903644e-11	5.3753183884883e-18
