Var1	uextS100beta0	uapxS100beta0	eS100beta0	uapxS100beta20000000000	uapxS100beta20000000000000	uextS1000beta0	uapxS1000beta0	eS1000beta0	uapxS1000beta20000000000	uapxS1000beta20000000000000	uextS10000beta0	uapxS10000beta0	eS10000beta0	uapxS10000beta20000000000	uapxS10000beta20000000000000
0.025	0.000590903118791175	0.000590902196048832	9.22742565299603e-10	0.00029677325334776	0.00029547916178671	0.000585673353299399	0.000585672429602258	9.23697362955472e-10	0.000296010955590379	0.000294725690938895	0.000538625162612938	0.000538624248508656	9.14104503571024e-10	0.000288600574788088	0.00028739942335962
0.05	0.00117965255981289	0.00117965256448227	4.66959327108385e-12	0.000591394156834049	0.000588805971414199	0.0011692023763743	0.00116920237799325	1.61916595582678e-12	0.000589874286823392	0.000587303734699633	0.00107519120527622	0.00107519122047627	1.52002759337688e-11	0.000575099478838909	0.000572696962705561
0.075	0.00176419637227809	0.00176419545072965	9.21548669839678e-10	0.000881806533641248	0.000877924249767101	0.00174854442654748	0.0017485435050752	9.21472505287582e-10	0.000879538510369938	0.000875682625131946	0.00160774036927069	0.00160773947513067	8.94140249037625e-10	0.000857490869827132	0.000853886562400733
0.1	0.00234259356375333	0.00234259356350574	2.47809585351977e-13	0.0011660725702352	0.0011608961810135	0.00232176776002291	0.00232176776304881	3.02611928570951e-12	0.00116307043500456	0.00115792914818834	0.00213442515729723	0.00213442518596773	2.86707233475292e-11	0.00113388650287751	0.00112907976417733
0.125	0.00291301410015876	0.00291301317614405	9.24014933578049e-10	0.00144235801769789	0.0014358875139376	0.00288705149714019	0.00288705057746929	9.1967112441152e-10	0.00143864034260064	0.00143221356291903	0.0026535080054324	0.00265350712888718	8.76545444734866e-10	0.00140250071344261	0.00139649068998933
0.15	0.00347373891713687	0.00347373891812147	9.84822032951138e-13	0.00170894698325074	0.00170118235346304	0.00344268559075545	0.00344268559511771	4.3624878015569e-12	0.00170453673586773	0.00169682434920866	0.00316336097461356	0.00316336101504584	4.04325054340071e-11	0.00166166473858422	0.00165445036323825
0.175	0.0040231599029994	0.00402315897765207	9.2534754598389e-10	0.00196422713284799	0.00195516836324624	0.00398707079554583	0.00398706987761528	9.17930773926268e-10	0.00195915153192935	0.00195015340135398	0.00366246546157711	0.00366246460027731	8.61300029561529e-10	0.00190981182323012	0.00190139181501475
0.2	0.00455977988735867	0.0045597798927918	5.43334995051215e-12	0.00220670448227984	0.00219635155677959	0.00451871863958786	0.00451871864513284	5.54520058343444e-12	0.00220099480587412	0.00219071077161423	0.00414941192921736	0.00414941197971681	5.04996721523154e-11	0.00214549150110801	0.00213586436496683
0.225	0.00508221267523368	0.00508221175518775	9.20046152111387e-10	0.0024349886009216	0.00242334150114051	0.00503625139806729	0.00503625048151185	9.16555666433116e-10	0.00242867999586462	0.00241710987531995	0.00462289965631202	0.00462289880792851	8.48383731322233e-10	0.00236735481380281	0.00235651884035192
0.25	0.00558918299589095	0.00558918300086795	4.97722089237707e-12	0.00264780740252158	0.00263486610777942	0.00553840206848122	0.0055384020748592	6.37820265353417e-12	0.00264093864354939	0.00262808223128419	0.00508173650656518	0.00508173656545499	5.88900300052542e-11	0.00257416856148647	0.00256212182669075
0.275	0.00607952653126631	0.006079525615041	9.16225537279936e-10	0.00284399235000087	0.0028297568373195	0.00602401434846911	0.00602401343312408	9.15345249249966e-10	0.00283660560965205	0.00282246267739169	0.00552483871693443	0.00552483787915443	8.37780223666984e-10	0.00276480062427731	0.00275154098913154
0.3	0.00655218992164919	0.00655218992267601	1.02704650339902e-12	0.00302249324603119	0.00300696349013448	0.00649204261534919	0.00649204262262505	7.27607470801805e-12	0.00301463381229116	0.00299920410891779	0.00595123070519454	0.00595123077080787	6.56135449791928e-11	0.00293823419288755	0.0029237593030113
0.325	0.00700623071452355	0.00700622979424754	9.20276236292261e-10	0.00318236343878018	0.00316553941209398	0.00694155190743118	0.00694155099303274	9.1439866269083e-10	0.00317407945199954	0.00315736270354791	0.00636004489671604	0.00636004406723972	8.29476545609331e-10	0.00309355318185888	0.00307786046710634
0.35	0.00744081742709568	0.00744081743621072	9.11525802754776e-12	0.00332277461238417	0.00330465628503627	0.00737171790710534	0.00737171791487595	7.77083432323966e-12	0.00331411674899871	0.00329611265865104	0.00675052157042177	0.00675052164110321	7.06816593101789e-11	0.00322995645023536	0.00321304312420855
0.375	0.00785522951787243	0.00785522859758633	9.20286319372465e-10	0.00344300199353392	0.00342358933335399	0.0077818269265606	0.00778182601288086	9.13679958081115e-10	0.00343402317659906	0.00341473142468007	0.00712200872388502	0.00712200790042146	8.23463780670608e-10	0.00334674329631467	0.00332860635590171
0.4	0.00824885735255521	0.0082488573604363	7.8813205961481e-12	0.00354243914194747	0.003521732114467	0.00817127589520794	0.00817127590350282	8.29509898270242e-12	0.00353319419847561	0.00351261444244649	0.00747396195756433	0.00747396203166578	7.41016675104289e-11	0.00344332767844689	0.00342396390325315
0.425	0.00862120227225205	0.00862120134718387	9.25068403823115e-10	0.00362058315769119	0.00359858172614344	0.00853957234873804	0.0085395714355733	9.13164962049184e-10	0.00361112850940022	0.00358926038385293	0.00780594437814264	0.00780594355841111	8.19731746891372e-10	0.00351922378099878	0.00349862973281326
0.45	0.00897187650252818	0.00897187651119434	8.66638531771269e-12	0.00367704947175768	0.00365375359707759	0.00888633442038156	0.00888633442890411	8.52276929586004e-12	0.00366744277356532	0.00364428589021569	0.00811762652094572	0.00811762659682363	7.58781301679612e-11	0.00357406024537901	0.00355223226752311
0.475	0.00930060327277715	0.00930060234472536	9.28052010240599e-10	0.00371155705401719	0.00368696669484135	0.00921129083415906	0.00921128992119381	9.12965475788341e-10	0.00370185687159995	0.00367741081928124	0.00840878629144948	0.00840878547317322	8.18276483030567e-10	0.0036075657969635	0.00358450001368505
0.5	0.00960721666274367	0.00960721666971803	6.9745823699785e-12	0.00372394320400559	0.00369805831667213	0.0095142809001203	0.0095142809087511	8.63101777548447e-12	0.00371420864098824	0.00368847298564336	0.00867930892584168	0.00867930900185562	7.60141602440534e-11	0.0036195834964549	0.0035952758121941
0.525	0.00989166176736944	0.00989166084627215	9.21097515968472e-10	0.00371414875940103	0.00368696929794956	0.0097952545116442	0.00979525359861292	9.13031508037454e-10	0.00370443912832146	0.00367741341299575	0.00892918697064271	0.00892918615154654	8.19096394877317e-10	0.00361005641756026	0.00358450251627096
0.55	0.0101539945546847	0.0101539945637528	9.06830166513828e-12	0.00368223288712711	0.00365375880329864	0.0100542721439467	0.010054272152434	8.48749716342301e-12	0.00367260733285816	0.00364429107769077	0.0091585202813893	0.00915852035589956	7.45104828531185e-11	0.00357904192880706	0.00355223727313928
0.575	0.0103943819681263	0.0103943810496854	9.18441088806898e-10	0.00362835829224971	0.00359858953548656	0.0102915048560703	0.0102915039427691	9.13301455296445e-10	0.00361887546296476	0.00358926816518069	0.00936751604035369	0.00936751521816102	8.22192886690276e-10	0.00352669741180045	0.00349863724234849
0.6	0.0106131018526412	0.0106131018612829	8.64195520700051e-12	0.00355280600950038	0.00352174252694608	0.0105072342929446	0.0105072343011759	8.23150402007311e-12	0.00354352368386454	0.00351262481776509	0.00955648879334303	0.00955648886470809	7.1365281739677e-11	0.00345329458363984	0.00342397391804082
0.625	0.0108105430172145	0.0108105420946559	9.2255886437187e-10	0.00345596061248829	0.00342360234898751	0.0107018526913549	0.0107018517776144	9.13740720240308e-10	0.00344693537721964	0.00341474439417373	0.0097258605055397	0.00972585967797084	8.27569077502255e-10	0.00335920524561183	0.00332861887772005
0.65	0.0109872051666571	0.0109872051768647	1.02078571290187e-11	0.00333832500574891	0.00330467190384733	0.0108758628861239	0.0108758628938104	7.68679044027554e-12	0.00332961189411629	0.00329612822255003	0.00987616063643149	0.00987616070300546	6.6574197543634e-11	0.00324491565638008	0.00321305815528094
0.675	0.0111436989982394	0.01114369807534	9.22899659472343e-10	0.0032005056341661	0.00316555763411032	0.0110298783192064	0.0110298774047251	9.14481587677152e-10	0.0031921578167413	0.00315738086212859	0.01000802623382	0.0100080253985899	8.35230296383771e-10	0.00311101230099165	0.00307787801010167
0.7	0.0112807460880049	0.0112807460905652	2.56055246450337e-12	0.00304322727565099	0.00300698431538846	0.0111646230510587	0.0111646230582271	7.16857476157351e-12	0.00303529571765138	0.00299922486250257	0.0101222020469347	0.010122202107065	6.01305567837773e-11	0.00295819632504905	0.00292377936104451
0.725	0.0113991789874035	0.0113991780656018	9.21801891762275e-10	0.00286731825066923	0.00282978026584808	0.0112809317730012	0.0112809308575855	9.15415927088548e-10	0.00285985142249736	0.00282248602634907	0.0102195406586705	0.010219539813483	8.45187695872052e-10	0.00278726931392217	0.00275156356576411
0.75	0.0114999411721328	0.0114999411795077	7.37513175530502e-12	0.00267372521565525	0.00263489213962422	0.0113797498221402	0.0113797498284988	6.35884747635096e-12	0.00266676877662579	0.00262810817602875	0.0103010026369699	0.0103010026889937	5.20240760193413e-11	0.00259914779815457	0.0025621469259314
0.775	0.011584087076244	0.0115840861568619	9.19382372316369e-10	0.00246349837253942	0.00242337013634774	0.0114621331981368	0.0114621322815646	9.1657245682164e-10	0.00245709490780427	0.00241713841631236	0.0103676567053843	0.0103676558479318	8.57452771979572e-10	0.00239484903278042	0.00235654646665723
