1845  3  0
   1      50    63    60
   2     488   448    10
   3     373   371   439
   4     116    80    78
   5     181   180   197
   6     805   812   788
   7     731   738   721
   8      96   113    75
   9     264   361   316
  10     588   598   553
  11      15    38    40
  12      50    26    63
  13      79   259    76
  14     592   548   582
  15      31    18    42
  16      38    15    16
  17      86    72    87
  18      43    58    23
  19      19    18    31
  20      19    16    15
  21     129    36    17
  22      15    40    33
  23      15    30    19
  24      22    41    31
  25      31    35    19
  26      38    16    74
  27      59    13    28
  28     281   280   105
  29      83   149    27
  30      36    22    42
  31     163   170   171
  32      74    24    49
  33     150    83    84
  34     120    38    49
  35     129   128    41
  36      42    45    58
  37      43    27    36
  38     118    76   121
  39      25    43    71
  40      82    70    39
  41      45    47    53
  42      89    77    79
  43      15    33    30
  44      22    36   129
  45      57    44    53
  46      66    14    67
  47      57    47    28
  48      56    40    82
  49     118   120    49
  50      31    41   133
  51      30    33    46
  52     258    91    75
  53     175   164   169
  54      84    71    21
  55      42    18    45
  56     122   124    99
  57      46    47    30
  58      31   133    35
  59      76    24    79
  60      68    82    40
  61      19    35    16
  62      55    50    60
  63     117   162    61
  64      26    48    32
  65      61    55    39
  66      14    33    56
  67      27    25    83
  68      87   150    84
  69      30    18    19
  70      36    27    17
  71      25    27    43
  72      73   102    97
  73      53    44    23
  74      46    28    47
  75      30    47    18
  76      57    28    13
  77      23    58    53
  78      42    43    36
  79      18    47    45
  80      46    33    14
  81     174   183   168
  82      14    56    39
  83      24    74    35
  84      62   117    61
  85      39    55    60
  86     118    49    76
  87     162   171    37
  88      61    39    70
  89      35    52    24
  90      42    22    31
  91      40    56    33
  92     108    62    70
  93      68    40    38
  94      44    57    13
  95      47    57    53
  96      42    58    43
  97      45    53    58
  98      37    50    55
  99      65    63    69
 100      69    26    32
 101     216   188   208
 102      67    60    63
 103      32    54    69
 104      26    50    37
 105      14    60    67
 106      59    65    54
 107      37    55   162
 108      14    39    60
 109      59    28    65
 110      46    66    28
 111      14    66    46
 112      65    28    66
 113      63    65    67
 114      66    67    65
 115      65    69    54
 116      26    69    63
 117      39    56    82
 118      80    62    78
 119      43    23    71
 120      23    21    71
 121      72    97    87
 122      84    86    87
 123      91    92    75
 124     146   142   144
 125      38    74    49
 126      35    74    16
 127     114   104    98
 128     155   107    93
 129     172    51   176
 130      49    24    76
 131      89    24    52
 132     106   105   111
 133      62    61    70
 134      82    68    81
 135      89    79    24
 136      79    77   259
 137      82    81   108
 138      37   260   289
 139     120    81    68
 140     108    78    62
 141     123    81   120
 142     190   217   209
 143      87    97   102
 144      84    83    25
 145      71    84    25
 146     102   140   150
 147     131    88   134
 148      73     1   127
 149      84    21    86
 150     139    88    85
 151       1    73   132
 152     102    73   126
 153      52   131   134
 154      77    89    91
 155      41   128   131
 156     100   137   138
 157     134    89    52
 158      91   135    92
 159     101    93    95
 160      92    90    95
 161      98    93   107
 162      75    92    96
 163     282     5   253
 164      78   108    81
 165     100    95    90
 166      98    95    93
 167     104    92    95
 168     253   279   285
 169     131    85    88
 170      97    72   132
 171      96   106   113
 172     304   301   303
 173     120   119   123
 174     285   282   253
 175     134    88    90
 176     137    90    88
 177     100   101    95
 178     251   128   145
 179     251    85   128
 180     151   156   157
 181     113   161   286
 182     107   110    98
 183      92   104    96
 184      95    98   104
 185     259   253     5
 186     106   114   153
 187     159   152   110
 188     309   507   509
 189     111   280   287
 190     114    96   104
 191     163   162   115
 192      77    91   258
 193     101   293   274
 194     110   107   159
 195     274    93   101
 196     287   280   112
