188  3  0
   1      17    14    18
   2       8    20    23
   3      31    16    17
   4       6    12    11
   5      15    32    27
   6      81    92    83
   7      12     6     8
   8      26     2    31
   9      10    23    21
  10      13    10     7
  11      20    24    23
  12      28    18    14
  13      13     7    28
  14      13    12    10
  15       8    10    12
  16      17    18    26
  17      12    13    11
  18      26    30    25
  19      28    11    13
  20      82    38    46
  21      14    19    47
  22      17    16    32
  23      61    59    60
  24       9    30    21
  25      16    27    32
  26      31    17    26
  27      14    47    33
  28      26    18    30
  29      47    32    15
  30       9    21    24
  31       7    10    21
  32      25    30     9
  33      87    46    80
  34       8    23    10
  35      24    20     1
  36      11    28    35
  37      23    24    21
  38       7    21    30
  39     111    70    65
  40      18    28     7
  41      11    35    39
  42      19    14    17
  43      14    33    28
  44      17    32    19
  45      33    35    28
  46      18     7    30
  47      22    15    27
  48      35    33    38
  49       2    26    25
  50      38    33    46
  51      37    42    29
  52      39     6    11
  53      90    93    95
  54      42    37    40
  55      40    39    35
  56      77     6    37
  57      33    47    46
  58      39    40    37
  59      40    35    38
  60       6    39    37
  61      36    43    38
  62      43    42    40
  63      41    43    45
  64      52    54    56
  65      40    38    43
  66      42    41    56
  67      36    82    79
  68      41    42    43
  69      64    61    49
  70      57    62    51
  71      83    43    36
  72      55    59    64
  73      45    83    50
  74      80    46    15
  75      32    47    19
  76      46    47    15
  77      74    76    66
  78      72    60    71
  79      56    54    29
  80      51    52    45
  81      45    43    83
  82      94   100    93
  83      50    51    45
  84      61    64    59
  85      57    55    62
  86      41    45    52
  87       5    52    62
  88      91    51    50
  89      52     5    54
  90      74    68    72
  91      42    56    29
  92      52    56    41
  93      66    58    69
  94      57    59    55
  95      61    53    70
  96      51    62    52
  97      71    59    57
  98      48    71    51
  99      60    59    71
 100      61    70    49
 101      68    60    72
 102      68    65    53
 103     108     4    67
 104      62    55     5
 105      53    61    60
 106      70    53    65
 107     110   111    58
 108      69    74    66
 109      72    48    75
 110      63    49    70
 111      60    68    53
 112      67   107   108
 113      51    71    57
 114      65    68    69
 115     109   110   107
 116      71    48    72
 117      90    91    92
 118      74    69    68
 119      79    81    83
 120      75    74    72
 121      76    74    73
 122      90    75    48
 123      74    75    73
 124      96    76    73
 125      44    66    76
 126      87    78    46
 127      37    29    77
 128      82    78    79
 129      73    95    96
 130      85    84    87
 131      85    15    22
 132      79    78    98
 133      87    86    98
 134      90    73    75
 135      38    82    36
 136      46    78    82
 137      36    79    83
 138      22    34    84
 139      84    34    88
 140      15    85    80
 141      22    84    85
 142     106    99   101
 143      87    98    78
 144      85    87    80
 145      87    84    88
 146      99   105   104
 147      87    88    86
 148      94    93    81
 149      97    96    95
 150      91    90    48
 151      90    92    93
 152      51    91    48
 153      92    91    50
 154      83    92    50
 155      93    92    81
 156      98    81    79
 157     100    97    95
 158      88   106    86
 159     101    94    86
 160      76    96    44
 161      90    95    73
 162     100    95    93
 163      96    97    44
 164      44    97    89
 165      86    94    98
 166      98    94    81
 167      89   103   104
 168     103    97   100
 169     101   100    94
 170     103   100    99
 171     106    88    34
 172     100   101    99
 173       3   105   102
 174     105   106   102
 175      97   103    89
 176     104   105     3
 177      99   104   103
 178     106   105    99
 179     106   101    86
 180      34   102   106
 181     107     4   108
 182      67    63   109
 183     109   107    67
 184      70   109    63
 185     111   110   109
 186      58    65    69
 187      70   111   109
 188      58   111    65
