453  3  0
   1      15    23    17
   2     203   208   206
   3     104   108    96
   4      20    26     9
   5      63    33    65
   6     123    11   120
   7     139   169   155
   8     244    56   242
   9      90    82    83
  10     165   168   162
  11      15    28    23
  12      17    13    37
  13      31    48    32
  14     185   176   178
  15      23    22    18
  16      13    18    20
  17      32    29    15
  18      39    45    44
  19      42    16     1
  20      59    25    30
  21      28    21    23
  22      20    18    22
  23      32    48    29
  24      67    73    72
  25      31    38    40
  26      22    26    20
  27      13    17    18
  28      17    23    18
  29      23    21    22
  30       5    30    25
  31      27    21    57
  32      58    27    57
  33      14    34    65
  34      36    58    33
  35      27    26    22
  36       9    26    24
  37      22    21    27
  38      26    27    24
  39      29    28    15
  40       5    25    29
  41      17    38    15
  42      59    57    21
  43      29    25    28
  44      25    21    28
  45      38    31    32
  46      43    40    45
  47      17    37    38
  48      49    31    43
  49      64    66    76
  50      71    24    36
  51      66    63    62
  52      34    68    73
  53      24    58    36
  54      66    70    71
  55      69    75    80
  56      65    62    63
  57      13    16    37
  58      15    38    32
  59      37    16    41
  60      40    43    31
  61      45    41    42
  62      38    37    41
  63      45    39    43
  64      16    42    41
  65      41    40    38
  66      19    50    46
  67      31    49    48
  68      50    49    43
  69      41    45    40
  70      42     1    44
  71      44    45    42
  72      51    52    54
  73      43    39    46
  74     230   240   235
  75     247   258    47
  76      29    48     5
  77      43    46    50
  78      47    48    49
  79      47    50    55
  80      47    49    50
  81      51    54    55
  82     247    55    54
  83     241    56   243
  84      19    51    55
  85     222   228   202
  86     243   237    52
  87     247   237   248
  88      55    50    19
  89      61    14    60
  90      55   247    47
  91      33    58    57
  92      27    58    24
  93      59    30    61
  94      21    25    59
  95      33    57    60
  96      57    59    61
  97      14    61    30
  98      57    61    60
  99      14    65    60
 100      63    36    33
 101      33    60    65
 102      34    67    65
 103      63    66    36
 104      72    78    62
 105      71    36    66
 106      75    72    79
 107      62    65    67
 108      72    75    69
 109      64    76    77
 110      72    62    67
 111      76    78    69
 112      70     9    71
 113      66    64    70
 114      24    71     9
 115      74    75    79
 116      34    73    67
 117      79    68     8
 118     102   108   107
 119      77    80    35
 120      79    72    73
 121      93    94    92
