2472  3  0
   1     373   145   414
   2      17    23    21
   3      97   272    78
   4      88    89    79
   5     184   167   168
   6     197   196   513
   7      61  1260    56
   8      72    12    19
   9      74   120   123
  10      39   281   108
  11      80   114   270
  12     862   861   362
  13      11    49    50
  14      51    22    18
  15       8    32    33
  16      21    91    27
  17      72    19    15
  18     117   122   114
  19      49    11    51
  20      71    52    25
  21      52    49    51
  22      23    18    22
  23      73    80    72
  24      21    27    17
  25      18    23    17
  26      46    47    45
  27      39    90   284
  28      32    20    34
  29      20    32    15
  30      36    26    29
  31      20    21    23
  32      21    12    91
  33      43    30    44
  34      17    29    25
  35     192    41    36
  36      11   519    34
  37      23    22    20
  38      15    19    20
  39      20    19    21
  40      21    19    12
  41     103   102    96
  42     708   596   320
  43     884   328    13
  44     112    86   212
  45      39    91    90
  46      44     9    42
  47      25    29    26
  48      71    26    69
  49      41     9    69
  50      18    17    25
  51      27    29    17
  52      48    69     9
  53      50    49    58
  54       9    41    16
  55      20    22    34
  56      73    32     8
  57     519    11    55
  58     886   887   817
  59      11    34    22
  60      32    34    33
  61      95   132    93
  62      90    86   284
  63     125   212    88
  64      44    30    46
  65      29    27    40
  66      96   102   280
  67     103    28   141
  68      44    42    43
  69      37   283   275
  70      36    29    40
  71       9    16    42
  72      40    39   108
  73      36    41    26
  74      42     6    43
  75      48    44    46
  76      66    64    63
  77      44    48     9
  78      47    38    65
  79      48    46    45
  80      66    67    64
  81      46    30    47
  82      48    60    70
  83      59    31    60
  84     328   194    13
  85      56    58    59
  86     262   175   296
  87      22    51    11
  88      52    51    18
  89      25    52    18
  90      59    52    31
  91      45    64    62
  92     133   377   520
  93     344   474   228
  94     843   397   700
  95      55    50   516
  96      11    50    55
  97      49    59    58
  98      50   144   516
  99     404   224   803
 100     509   910   847
 101      49    52    59
 102     224    58    56
 103      70    31    71
 104      56    59    61
 105      62    48    45
 106      61    53  1260
 107      59    60    61
 108      62    60    48
 109      63    64    65
 110      64    67    62
 111     954   949   951
 112     943  1007  1005
 113      65    64    45
 114     943    66    63
 115      47    65    45
 116      65    38  1148
 117      53    61    66
 118      66    61    67
 119      61    60    67
 120      62    67    60
 121      15    73    72
 122     376   277   272
 123      69    70    71
 124      41    69    26
 125      31    70    60
 126      69    48    70
 127      52    71    31
 128      26    71    25
 129      15    32    73
 130      76    97   222
 131     118   120   122
 132      93   114   122
 133     586    33   587
 134      95    97    78
 135     112    83   218
 136     111    94   129
 137     247   139   143
 138      81    77    85
 139     190   136   157
 140     109   169   211
 141      75    76   225
 142      72    79    12
 143      83    77    35
 144      95    78    68
 145     114    80    73
 146     109   208    80
 147      96   280   282
 148     243   166   177
 149     104   106   166
 150     192    16    41
 151     248   140   229
 152      72    80   208
 153     101    82   219
