620  3  0
 355     193   192   182
 356     106   192   165
 357     311   239   189
 358     302   194   160
 359     194   181   195
 360     192   196   165
 361     181   197   195
 362     195   197   198
 363     193   194   196
 364     195   196   194
 365     197   181   301
 366     198   197   131
 367     131   129   198
 368     125   198   129
 369     164   199   118
 370     165   183   199
 371     117   217   213
 372     200   188   205
 373     185   201   222
 374     188   200   204
 375     211   224   108
 376     204   208   110
 377     203   186   210
 378     311   205   188
 379     204   200   207
 380     206   189   190
 381     206   190   167
 382     170   205   206
 383     200   166   209
 384     203   210   224
 385     108   224   202
 386     207   208   204
 387     200   209   207
 388     186   207   210
 389     209   210   207
 390     222   108   185
 391     211   216   223
 392     212   213   217
 393     212   228   216
 394     117   213   172
 395     213   212   215
 396     215   108   222
 397     211   215   216
 398     216   215   212
 399     226   218   227
 400     223   184   211
 401     117   218   217
 402     229   228   225
 403     117    99   219
 404     218   226   217
 405     231   242   100
 406     117   219   218
 407     227   218   111
 408     229   214   216
 409     227   220   226
 410     227   230   220
 411     201   213   222
 412     215   222   213
 413     216   214   223
 414     214   184   223
 415     224   210   209
 416     244   214   229
 417     244   243     2
 418     212   226   220
 419     111   221   227
 420     230   227   221
 421     212   220   228
 422     228   220   230
 423     228   229   216
 424     244   229   225
 425     243   230   221
 426     228   230   225
 427     161   231   101
 428     242   231   105
 429     263    32   256
 430     234    19    67
 431     232   245   249
 432     119   257   248
 433      65   234    67
 434     234   235   247
 435     236   235    44
 436     236   247   235
 437     103   236    44
 438     236   119   248
 439     301   278   250
 440     289   288   252
 441     303   287   279
 442     304   279   281
 443     189   239   191
 444     313   337   312
 445     218   241   111
 446     219   242   241
 447     242   219   100
 448     105   240   242
 449     241   242   240
 450     245   250   249
 451     230   243   225
 452     243   244   225
 453     250   237   249
 454     237   250   278
 455     253   288    57
 456     264   253   260
 457     255    19   234
 458     257   119   245
 459     268   299   271
 460     250   245   130
 461     245   232   257
 462     246   287   325
 463     304   281   282
 464     248   261   247
 465     264   249   253
 466     197   301   130
 467     278   277   252
 468     232   261   257
 469     256    62    19
 470     247   255   234
 471     247   261   262
 472     255   254   256
 473     265   274   273
 474      62   256    32
 475     232   264   268
 476     258   261   232
 477     259   297   298
 478       4   292   295
 479     269   290   291
 480     257   261   248
 481     253    57   260
 482     262   261   258
 483     274   262   258
 484     262   254   255
 485     265   256   254
 486       4   266   292
 487     260   251   264
 488     232   268   258
 489     254   262   274
 490     297   294   296
 491     263   269    32
 492     266   267   290
 493     291    41    55
 494     264   251   268
 495     299   233   271
 496     263   265   273
 497     270   290   269
 498     263   273   296
 499     290   270   293
 500     272   273   274
 501     258   268   271
 502     254   274   265
 503     275   233   298
 504     297   296   272
 505     258   271   274
 506     275   274   271
 507     233   275   271
 508     272   274   275
 509     252   237   278
 510     288   253   237
 511     302   282   300
 512     301   250   130
 513     252   277   281
 514     287   283   279
 515     283   289   252
 516     303   279   304
 517     282   281   277
 518     280   283   287
 519     300   282   277
 520     330   310   328
 521     276   283   280
 522     276   289   283
 523     281   283   252
 524     309   325   303
 525     330   286   325
 526     160   314   282
 527     287   303   325
 528     280   287   246
 529     252   288   237
 530      57   288   284
 531     276   284   289
 532     288   289   284
 533     291   290   267
 534      41   291   267
 535     291    55    32
 536     266   293   292
 537     292   293   294
 538     290   293   266
 539     294   293   270
 540     294   270   296
 541     295   294   259
 542     263   296   270
 543     294   295   292
 544     272   296   273
 545     298   297   272
 546     259   294   297
 547     275   298   272
 548     259   298   233
 549     268   251   299
 550     233   299   251
 551     277   278   301
 552     302   300   181
 553     181   300   301
 554     301   300   277
 555     194   302   181
 556     282   302   160
 557     314   307   306
 558     304   308   303
 559     306   307   317
 560     306   304   282
 561     193   182   307
 562     239   318   182
 563     308   304   306
 564     285   328     3
 565     160   193   307
 566     308   309   303
 567     309   308   238
 568     329   326   322
 569     329     3   328
 570     330   309   310
 571     316   312   332
 572     311   188   332
 573     315   335   323
 574     337   334   333
 575     316   188   204
 576     336   311   332
 577     282   314   306
 578     160   307   314
 579     317   307   318
 580     338   336   333
 581     338   333   315
 582     110   312   316
 583     307   182   318
 584     319   317   315
 585     239   311   321
 586     317   318   338
 587     326   310   238
 588     238   308   320
 589     317   320   306
 590     238   320   319
 591     110   316   204
 592     239   321   318
 593     331   322   326
 594     315   323   319
 595     319   323   327
 596     325   286   246
 597     305   324   331
 598     238   327   326
 599     331   323   305
 600     319   327   238
 601     331   327   323
 602     330   328   285
 603     329   328   310
 604     326   329   310
 605       3   329   322
 606     286   330   285
 607     309   330   325
 608     322   331   324
 609     327   331   326
 610     332   188   316
 611     321   336   338
 612     333   335   315
 613     335   333   334
 614     305   335   334
 615     311   336   321
 616     337   336   332
 617     312   337   332
 618     334   337   313
 619     317   338   315
 620     321   338   318
