102  3  0
   1      16     8    21
   2      46    44    39
   3      37     8    33
   4      28    13    26
   5      21    31    18
   6      11    36    48
   7      54    49    56
   8      27    38     5
   9      20    24     4
  10      68    61    63
  11      17     9    13
  12      40    42    38
  13      14    38    27
  14      58     6    43
  15      15    28    27
  16      19    18    17
  17      26    29    28
  18      19    15     5
  19      17    15    19
  20      13    15    17
  21      20    22    24
  22       9    17    18
  23       5    16    19
  24      16    18    19
  25       8    22    21
  26      21    18    16
  27      32    24    22
  28      31     9    18
  29      30    22    20
  30      32    22     8
  31      37    36    34
  32      25     4    24
  33      14    27    29
  34      32    25    24
  35       5    15    27
  36      13    28    15
  37      29    26     1
  38      22    31    21
  39      28    29    27
  40      30    31    22
  41       9    31    30
  42      32    37    23
  43      25    32    23
  44      35    48    36
  45      36    37    33
  46      11    34    36
  47      50    52    48
  48      33    35    36
  49      23    37    34
  50      37    32     8
  51      44    46    43
  52      42    40    10
  53      38    14    40
  54      41     5    38
  55      10    47    42
  56      42    41    38
  57      41    42    39
  58      45    58    43
  59      43     6    44
  60      47    45    43
  61      47    43    46
  62      42    47    46
  63      42    46    39
  64      61    71    59
  65      45    47    10
  66      54    56    53
  67      52    50     7
  68      48    35    50
  69      51    11    48
  70       7    57    52
  71      52    51    48
  72      51    52    49
  73      52    57    56
  74      54    53     3
  75      57    55    53
  76      69    64    12
  77      57    53    56
  78      52    56    49
  79      55     3    53
  80      61     6    58
  81      57     7    66
  82      12    63    59
  83      58    45    60
  84      58    71    61
  85      70    60     2
  86      64    68    63
  87      12    65    69
  88      64    63    12
  89      65    55    66
  90      61    59    63
  91      68    64    62
  92      66    55    57
  93      62    69    67
  94      62    64    69
  95      65    66    69
  96      62     6    68
  97      66     7    67
  98      68     6    61
  99      66    67    69
 100      60    71    58
 101      70    71    60
 102      59    71    70
