Var1	uextS100	uapxS100	eS100	uextS1000	uapxS1000	eS1000	uextS10000	uapxS10000	eS10000
0.0125	0.000147876050959894	0.000147875995385696	5.55744199574534e-11	0.000147499027107756	0.00014791681372864	4.17786621106366e-07	0.000143833065965548	0.000147917668423284	4.0846024579578e-06
0.025	0.00029547878170888	0.00029547878535976	3.65110236965824e-12	0.00029472532219188	0.000295560358281766	8.3503609010809e-07	0.000287399128938048	0.00029556206633591	8.16293739808334e-06
0.0375	0.000442541227130278	0.000442541175435498	5.16950014154034e-11	0.000441412510028272	0.000442663375518764	1.25086549071404e-06	0.000430437531930838	0.000442665934264415	1.2228402333799e-05
0.05	0.00058880336268885	0.000588803369071763	6.38313468921681e-12	0.000587301148371466	0.000588966005492528	1.66485712128385e-06	0.00057269453037101	0.000588969410934044	1.62748805632564e-05
0.0625	0.00073401209306212	0.000734012042821411	5.02409306648785e-11	0.000732138727812526	0.00073421486167219	2.07613385988666e-06	0.000713923280836859	0.000734219108493022	2.02958276563847e-05
0.075	0.000877921274877735	0.00087792127093989	3.93806732015833e-12	0.000875679669647411	0.000878163955713485	2.48428606629617e-06	0.000853883830105318	0.000878169037286312	2.42852071812164e-05
0.0875	0.00102029165418571	0.00102029160056981	5.36161241272703e-11	0.0010176853253796	0.00102057377268251	2.88844730312915e-06	0.000992343104494253	0.00102057968108019	2.82365765861623e-05
0.1	0.00116089096877658	0.00116089097632655	7.55019072436192e-12	0.00115792397565428	0.00116121219582543	3.28822017136307e-06	0.00112907489952141	0.00116121892183582	3.21440223146356e-05
0.1125	0.00129949386860062	0.00129949381551732	5.30835200015373e-11	0.00129617082890832	0.00129985358179321	3.68275288511349e-06	0.00126385986986266	0.00129986111493409	3.60012450716554e-05
0.125	0.00143588193282085	0.0014358819327054	1.15667891931182e-13	0.00143220802065969	0.00143627968541074	4.07166475127878e-06	0.00139648551961358	0.00143628801394904	3.98024943356818e-05
0.1375	0.00156984366981305	0.00156984361496205	5.48512266423246e-11	0.00156582461229959	0.0015702787349025	4.45412260313325e-06	0.00152674619285653	0.00157028784587293	4.35416530166243e-05
0.15	0.00170117454558749	0.00170117454641105	8.23783099027087e-13	0.00169681659023979	0.0017016463566611	4.82976642152632e-06	0.0016544430645351	0.00170165623588956	4.72131713546761e-05
0.1625	0.00182967693831415	0.00182967688351181	5.48025620109721e-11	0.00182498686562838	0.00183018465047381	5.19778484565263e-06	0.00177938413162382	0.00183019528259955	5.08111509759518e-05
0.175	0.00195516017811315	0.00195516017958584	1.47291553953544e-12	0.00195014527193393	0.00195570311429064	5.55784235693009e-06	0.00190138420461095	0.00195571448279348	5.43302781827611e-05
0.1875	0.00207744051294867	0.00207744046012939	5.28195005095045e-11	0.00207210856608242	0.00207801771945173	5.90915336953551e-06	0.00202026489927132	0.00207802980667752	5.776490740642e-05
0.2	0.00219634114841938	0.00219634114732355	1.09604556333687e-12	0.0021907004258992	0.00219695183545488	6.25140955591184e-06	0.0021358546287531	0.00219696462264631	6.11099938934373e-05
0.2125	0.00231169219091498	0.00231169213537479	5.55404181847019e-11	0.00230575145039325	0.00231233530518377	6.58385479074567e-06	0.00224798859595898	0.0023123487725089	6.43601765501407e-05
0.225	0.00242333071582834	0.00242333071501022	8.18342789365989e-13	0.00241709915854926	0.00242400536967508	6.90621112603906e-06	0.00235650878623206	0.00242401949626151	6.7510710029669e-05
0.2375	0.00253110069934337	0.00253110064884448	5.04991105355901e-11	0.00252458798883026	0.00253180574334746	7.21775451741936e-06	0.00246126396034008	0.00253182050731359	7.05565469737348e-05
0.25	0.00263485309233147	0.00263485309586185	3.53060029129049e-12	0.00262806929825388	0.00263558753876828	7.51824051462404e-06	0.00256210964776438	0.0026356029172606	7.34932694964412e-05
0.2625	0.00273444574077075	0.00273444568680769	5.39632869639428e-11	0.00272740136203709	0.00273520834188327	7.80697984640536e-06	0.00265890814028369	0.00273522431111019	7.63161708267272e-05
0.275	0.0028297434482738	0.00282974344865916	3.85580022771448e-13	0.0028224493725304	0.00283053313678296	8.08376425278116e-06	0.00275152848586346	0.00283054967205491	7.902118619167e-05
0.2875	0.00292061793061293	0.0029206178800396	5.05735557598808e-11	0.00291308543928892	0.00292143338093298	8.34794164428134e-06	0.00283984648284541	0.00292145045669857	8.16039738533872e-05
0.3	0.00300694787824796	0.00300694787567938	2.56879977358904e-12	0.00299918858779336	0.00300778792994022	8.5993421470908e-06	0.00292374467442835	0.00300780551982886	8.4060845400732e-05
0.3125	0.00308861885969236	0.00308861880185164	5.78409464421781e-11	0.00308064475916581	0.00308948211278374	8.83735361815758e-06	0.00300311234345774	0.00308950018964392	8.63878461864016e-05
0.325	0.00316552341814713	0.00316552342082493	2.67802143308349e-12	0.00315734680995661	0.00316640865658067	9.06184662427968e-06	0.003077845507514	0.00316642719252484	8.85816850110604e-05
0.3375	0.00323756101465733	0.00323756096631867	4.83388871465318e-11	0.00322919451129167	0.00323846676181768	9.27225052623024e-06	0.00314784691428915	0.00323848572826244	9.06388139735072e-05
0.35	0.00330463806221815	0.00330463806794917	5.73125097727556e-12	0.0032960945485172	0.00330556302711674	9.46847859976214e-06	0.00321302603727913	0.0033055823948297	9.25563575507882e-05
0.3625	0.00336666788030016	0.00336666782670321	5.3597170104891e-11	0.00335796052098658	0.0033676105244671	9.65000348073994e-06	0.00327329907175722	0.00336763026360866	9.43311918516613e-05
0.375	0.00342357073463972	0.00342357073937909	4.73958936333951e-12	0.00341471294127871	0.00342452972399083	9.81678271234389e-06	0.00332858893105747	0.00342454980416284	9.59608731055843e-05
0.3875	0.00347527382587032	0.00347527377407663	5.17939116075061e-11	0.00346627923548226	0.00347624756917533	9.96833369329214e-06	0.00337882524315569	0.00347626795946427	9.74427163087962e-05
0.4	0.00352171129520684	0.00352171129463497	5.72093154099784e-13	0.00351259374205881	0.00352269840163881	1.01046595802176e-05	0.00342394434753857	0.00352271907066586	9.87747231275173e-05
0.4125	0.0035628241903396	0.0035628241361373	5.42025200764296e-11	0.00355359771234021	0.00356382303636313	1.02253240231425e-05	0.0034638892923855	0.00356384395232859	9.99546599433085e-05
0.425	0.00359856052227769	0.00359856052934705	7.06958146537429e-12	0.00358923930960486	0.00359956968645929	1.03303768546519e-05	0.00349860983203643	0.00359959081719382	0.000100980985157614
0.4375	0.003628875231243	0.00362887517622574	5.50174784202939e-11	0.00361947360921988	0.00362989303840067	1.04194291810126e-05	0.00352806242476023	0.00362991435141061	0.000101851926650604
0.45	0.00365373016961712	0.00365373017436918	4.7522827686941e-12	0.00364426259856998	0.00365475517678845	1.04925782186925e-05	0.00355221023082608	0.00365477663930805	0.000102566408482193
0.4625	0.00367309414741612	0.00367309409253676	5.48795813480607e-11	0.00366357517620486	0.00367412465958521	1.05494833805681e-05	0.00357102311086521	0.00367414623862264	0.000103123127757652
0.475	0.00368694289250016	0.00368694289508937	2.58943517669752e-12	0.00367738715283395	0.00368797744288039	1.05902900466677e-05	0.0035844776245324	0.00368799910527065	0.000103521480738469
