Var1	uext	uapx	e
0.0333333333333333	0.0196798319507252	0.0196795398739065	2.92076818939058e-07
0.0666666666666667	0.0391069087868345	0.039106616542471	2.9224436372266e-07
0.1	0.0580445484388292	0.0580445488153539	3.76524908474174e-10
0.133333333333333	0.0762736061687974	0.0762733137485487	2.92420248959591e-07
0.166666666666667	0.0935924683176381	0.0935921760641402	2.92253498151984e-07
0.2	0.109817057420969	0.109817057364448	5.65209545833056e-11
0.233333333333333	0.124780827377435	0.124780535671334	2.91706101898659e-07
0.266666666666667	0.138334766859316	0.138334474755262	2.92104054055997e-07
0.3	0.150347393628181	0.150347393781701	1.5352022431081e-10
0.333333333333333	0.160704759082364	0.160704466982059	2.92100304943865e-07
0.366666666666667	0.16931044484636	0.16931015296676	2.91879600433642e-07
0.4	0.176085564760342	0.176085564729156	3.11858316948133e-11
0.433333333333333	0.180968761753775	0.180968469448105	2.92305670085424e-07
0.466666666666667	0.18391621011915	0.183915917859733	2.92259417722374e-07
0.5	0.184901614375121	0.184901614544169	1.69047942311096e-10
0.533333333333333	0.18391621011915	0.183915917859733	2.92259417888907e-07
0.566666666666667	0.180968761753775	0.180968469448104	2.9230567061278e-07
0.6	0.176085564760342	0.176085564729155	3.11868864066867e-11
0.633333333333333	0.169310445130577	0.169310152966759	2.92163818749192e-07
0.666666666666667	0.160704759082364	0.160704466982058	2.92100306026333e-07
0.7	0.150347393912398	0.1503473937817	1.30698091238557e-10
0.733333333333333	0.138334766859316	0.138334474755262	2.92104054472331e-07
0.766666666666667	0.124780827661652	0.124780535671334	2.91990318909696e-07
0.8	0.109817057420969	0.109817057364449	5.65202329383396e-11
0.833333333333333	0.0935924683176381	0.0935921760641409	2.9225349748585e-07
0.866666666666667	0.0762736058845803	0.0762733137485493	2.92136031268542e-07
0.9	0.0580445484388292	0.0580445488153545	3.76525463585686e-10
0.933333333333333	0.0391069087868345	0.0391066165424715	2.9224436322306e-07
0.966666666666667	0.0196798319507252	0.0196795398739067	2.92076818689258e-07
