Var1	uext	uapx	e
0.05	0.0294401681344425	0.0294394288092923	7.39325150385384e-07
0.1	0.0580445484388292	0.0580445490674339	6.28604869545857e-10
0.15	0.0850587272793746	0.085057987983502	7.39295872839718e-07
0.2	0.109817057420969	0.109817057812575	3.91606178040682e-10
0.25	0.131742654616573	0.131741915686462	7.38930111293667e-07
0.3	0.150347393912398	0.150347394369851	4.57453436242261e-10
0.35	0.165231903110907	0.165231164444435	7.38666472044347e-07
0.4	0.176085564760342	0.176085565401318	6.40975994503634e-10
0.45	0.182686508480856	0.182685769842237	7.38638619324217e-07
0.5	0.184901614375121	0.184901615244334	8.69213229170995e-10
0.55	0.182686508480856	0.182685769842237	7.38638619379728e-07
0.6	0.176085564760342	0.176085565401318	6.40975966748059e-10
0.65	0.165231903110907	0.165231164444436	7.38666471877814e-07
0.7	0.150347393912398	0.150347394369851	4.57453769309168e-10
0.75	0.131742654616573	0.131741915686463	7.38930111016112e-07
0.8	0.109817057420969	0.109817057812575	3.91606372329711e-10
0.85	0.0850587272793746	0.0850579879835021	7.39295872687062e-07
0.9	0.0580445484388292	0.058044549067434	6.28604980568159e-10
0.95	0.0294401681344425	0.0294394288092924	7.39325150295178e-07
