N	L2S100	LinfS100	H1S100
5	1.47843807131924e-05	4.67589063932877e-06	3.68848883115135e-09
10	1.30653135444248e-06	2.92420248737546e-07	5.76426402239162e-11
20	1.14927070237657e-07	1.84597179764268e-08	9.05966320568344e-13
