Var1	uext	uapx	e
0.025	0.014773939085444	0.0147738930347332	4.60507110101177e-08
0.05	0.0294401681344425	0.0294401684613896	3.26947368484154e-10
0.075	0.0438960637438868	0.0438960173240855	4.64198014679673e-08
0.1	0.0580445484388292	0.0580445488311095	3.92280478933582e-10
0.125	0.0717940966410424	0.0717940504215572	4.62194854750075e-08
0.15	0.0850587272793746	0.0850587273414934	6.21190460181609e-11
0.175	0.0977580089056573	0.0977579627736253	4.61320322081571e-08
0.2	0.109817057420969	0.109817057392456	2.85132473187844e-11
0.225	0.121166535791417	0.121166489551741	4.62396762684891e-08
0.25	0.131742654616573	0.131742654823887	2.07313305411461e-10
0.275	0.14148717241369	0.141487126239935	4.61737557910791e-08
0.3	0.150347393912398	0.150347393818457	9.39406052946623e-11
0.325	0.158276170907357	0.15827612485282	4.60545369618259e-08
0.35	0.165231903110907	0.16523190343482	3.23913174060664e-10
0.375	0.171178536731986	0.171178490783975	4.59480112569022e-08
0.4	0.176085564760342	0.176085564771162	1.08198450199382e-11
0.425	0.179928026113885	0.179927980284671	4.58292140903538e-08
0.45	0.182686508480856	0.182686508759103	2.78246758966816e-10
0.475	0.184347144625008	0.184347098572935	4.60520733214231e-08
0.5	0.184901614375121	0.184901614587923	2.12801970489451e-10
0.525	0.184347144625008	0.184347098572934	4.60520738210235e-08
0.55	0.182686508480856	0.182686508759102	2.78245787521669e-10
0.575	0.179928026113885	0.179927980284669	4.58292155336437e-08
0.6	0.176085564760342	0.17608556477116	1.08179298852207e-11
0.625	0.171178536731986	0.171178490783973	4.59480134495927e-08
0.65	0.165231903110907	0.165231903434818	3.23910870347888e-10
0.675	0.158276170623139	0.158276124852818	4.57703220602124e-08
0.7	0.150347393912398	0.150347393818455	9.39429090074384e-11
0.725	0.14148717241369	0.141487126239932	4.61737582335697e-08
0.75	0.131742654616573	0.131742654823884	2.07310890676382e-10
0.775	0.121166535791417	0.121166489551739	4.62396785305685e-08
0.8	0.109817057420969	0.109817057392454	2.85154122536824e-11
0.825	0.0977580089056573	0.0977579627736232	4.6132034373092e-08
0.85	0.0850587272793746	0.0850587273414913	6.21169782277775e-11
0.875	0.0717940966410424	0.0717940504215553	4.62194873346311e-08
0.9	0.0580445484388292	0.0580445488311078	3.92278834415727e-10
0.925	0.0438960634596697	0.0438960173240842	4.61355857475643e-08
0.95	0.0294401681344425	0.0294401684613886	3.26946327650068e-10
0.975	0.014773939085444	0.0147738930347326	4.60507116328834e-08
