Var1	uextS100	uapxS100	eS100
0.0166666666666667	0.00985603264780366	0.00985601468269051	1.79651133674213e-08
0.0333333333333333	0.0196798319507252	0.0196798138664521	1.80842732767916e-08
0.05	0.0294401681344425	0.0294401684530748	3.186325508997e-10
0.0666666666666667	0.0391069087868345	0.0391068905270128	1.82598219183872e-08
0.0833333333333333	0.0486510160158105	0.0486509977242373	1.82915734017741e-08
0.1	0.0580445484388292	0.0580445488153561	3.76527059531284e-10
0.116666666666667	0.0672606617513338	0.0672606436881317	1.80632023089045e-08
0.133333333333333	0.0762736061687974	0.0762735877090794	1.84597181984714e-08
0.15	0.0850587272793746	0.0850587273191785	3.9804159968071e-11
0.166666666666667	0.0935924683176381	0.0935924500184472	1.82991911346075e-08
0.183333333333333	0.101852367038191	0.101852348721455	1.83167365025438e-08
0.2	0.109817057420969	0.109817057364456	5.65135854779797e-11
0.216666666666667	0.117466269102806	0.117466250892021	1.82107848523128e-08
0.233333333333333	0.124780827377435	0.124780809607634	1.77698015191297e-08
0.25	0.131742654616573	0.131742654791075	1.74502162719747e-10
0.266666666666667	0.138334766859316	0.138334748687116	1.81721998004925e-08
0.283333333333333	0.144541277222743	0.144541258852358	1.83703847134176e-08
0.3	0.150347393628181	0.150347393781711	1.53530049784578e-10
0.316666666666667	0.155739421074941	0.155739402899136	1.81758051664982e-08
0.333333333333333	0.160704759082364	0.160704740901908	1.81804558907483e-08
0.35	0.165231903110907	0.165231903395012	2.84104573200494e-10
0.366666666666667	0.16931044484636	0.169310426883941	1.79624193019645e-08
0.383333333333333	0.172931071062976	0.172931053117542	1.79454338611329e-08
0.4	0.176085564760342	0.176085564729166	3.11759507098941e-11
0.416666666666667	0.178766803173858	0.178766785231525	1.79423327306694e-08
0.433333333333333	0.180968761753775	0.180968743359283	1.83944917075962e-08
0.45	0.182686508480856	0.182686508715796	2.34939900867204e-10
0.466666666666667	0.18391621011915	0.183916191770023	1.83491281890991e-08
0.483333333333333	0.184655125963218	0.184655108200037	1.77631815923007e-08
0.5	0.184901614375121	0.18490161454418	1.69058683718859e-10
0.516666666666667	0.184655126247435	0.184655108200037	1.8047398603338e-08
0.533333333333333	0.18391621011915	0.183916191770023	1.834912799481e-08
0.55	0.182686508480856	0.182686508715796	2.34940122911809e-10
0.566666666666667	0.180968761753775	0.180968743359284	1.83944911802403e-08
0.583333333333333	0.178766803173858	0.178766785231526	1.79423320922911e-08
0.6	0.176085564760342	0.176085564729167	3.11753123316549e-11
0.616666666666667	0.172931071062976	0.172931053117543	1.79454334447993e-08
0.633333333333333	0.169310445130577	0.169310426883941	1.82466359799349e-08
0.65	0.165231903110907	0.165231903395012	2.84105128312007e-10
0.666666666666667	0.160704759082364	0.160704740901909	1.8180455196859e-08
0.683333333333333	0.155739421074941	0.155739402899137	1.81758042505642e-08
0.7	0.150347393912398	0.150347393781712	1.30686433896798e-10
0.716666666666667	0.144541277222743	0.14454125885236	1.83703832978832e-08
0.733333333333333	0.138334766859316	0.138334748687118	1.81721981351579e-08
0.75	0.131742654616573	0.131742654791077	1.7450385580986e-10
0.766666666666667	0.124780827661652	0.124780809607636	1.80540167121768e-08
0.783333333333333	0.117466269102806	0.117466250892024	1.82107827290112e-08
0.8	0.109817057420969	0.109817057364458	5.65112401318402e-11
0.816666666666667	0.101852367038191	0.101852348721457	1.83167339767865e-08
0.833333333333333	0.0935924683176381	0.09359245001845	1.82991883729278e-08
0.85	0.0850587272793746	0.0850587273191814	3.9807046547935e-11
0.866666666666667	0.0762736058845803	0.0762735877090824	1.81754980926874e-08
0.883333333333333	0.0672606620355509	0.0672606436881348	1.8347416363973e-08
0.9	0.0580445484388292	0.058044548815359	3.76529959988936e-10
0.916666666666667	0.0486510160158105	0.0486509977242399	1.82915708066278e-08
0.933333333333333	0.0391069087868345	0.039106890527015	1.825981976733e-08
0.95	0.0294401681344425	0.0294401684530765	3.18634188478661e-10
0.966666666666667	0.0196798319507252	0.0196798138664534	1.80842720277907e-08
0.983333333333333	0.00985603264780366	0.00985601468269118	1.79651127030223e-08
