x,uextbe1,uapxbe1,ebe1,uextbe8,uapxbe8,ebe8,uextbe64,uapxbe64,ebe64
0.00497512437810945,0.00290262096489505,0.00290261749543315,3.46946212557986e-09,1.36255841374147e-05,1.36130270423605e-05,1.25570952762729e-08,6.01328150404251e-29,3.5073634385017e-29,2.22044604925056e-16
0.00995024875621891,0.00581971881239804,0.00581971188610537,6.92629289252705e-09,2.78044169732444e-05,2.77788673656291e-05,2.55496078373811e-08,1.4281165134804e-28,8.34295918507504e-29,2.22044604925091e-16
0.0149253731343284,0.00875136574626272,0.00875135537598293,1.03702800114541e-08,4.25589624341149e-05,4.25199702400963e-05,3.89921942406626e-08,2.5648984799634e-28,1.50097864569779e-28,2.22044604925138e-16
0.0199004975124378,0.0116976343303611,0.0116976205291517,1.3801209647335e-08,5.79125965644773e-05,5.7859696581547e-05,5.28999831522783e-08,4.12790214212544e-28,2.42013293821458e-28,2.22044604925202e-16
0.0248756218905473,0.0146585974904784,0.014658580271613,1.72188655989808e-08,7.38896445619367e-05,7.38223559723968e-05,6.72885897619622e-08,6.27693381219148e-28,3.68736932967264e-28,2.2204460492529e-16
0.0298507462686567,0.0176343285161192,0.0176343078930891,2.06230302800259e-08,9.0515419316353e-05,9.04332451862252e-05,8.21741303498862e-08,9.23171711228848e-28,5.43450589304381e-28,2.22044604925411e-16
0.0348258706467662,0.0206249010623208,0.0206248770488369,2.40134840588657e-08,0.000107816261513769,0.000107718688276757,9.7573237233759e-08,1.32943581948482e-27,7.84327997153778e-28,2.22044604925576e-16
0.0398009950248756,0.0236303891514767,0.0236303617614712,2.73900056420306e-08,0.000125819581368706,0.000125706078294824,1.13503074104148e-07,1.88802340068442e-27,1.11642525176271e-27,2.22044604925803e-16
0.0447761194029851,0.0266508671751681,0.026650836422797,3.07523713473368e-08,0.000144553902050942,0.000144423920699411,1.29981351753764e-07,2.65604617092095e-27,1.57428714717029e-27,2.22044604926113e-16
0.0497512437810945,0.0296864098960068,0.0296863757956506,3.4100356396255e-08,0.000164048904875582,0.000163901878531595,1.47026344208672e-07,3.71202914557828e-27,2.20554052959613e-27,2.22044604926538e-16
0.054726368159204,0.0327370924494836,0.0327370550157503,3.74337334532737e-08,0.000184335476327999,0.000184170819422954,1.64656905266627e-07,5.16393927894934e-27,3.0758484473785e-27,2.22044604927119e-16
0.0597014925373134,0.0358029903458296,0.0358029495935563,4.07522735626498e-08,0.000205445756998176,0.000205262864512948,1.82892485450634e-07,7.16022433844062e-27,4.27574042869975e-27,2.22044604927916e-16
0.0646766169154229,0.0388841794718849,0.0388841354161394,4.40557457251356e-08,0.000227413192501949,0.000227211439352788,2.01753149382887e-07,9.90499066188746e-27,5.9300293733616e-27,2.22044604929006e-16
0.0696517412935323,0.0419807360929766,0.0419806887490595,4.73439173004353e-08,0.000250272586469844,0.00025005132687648,2.21259593586112e-07,1.36788716186721e-26,8.21079460475929e-27,2.22044604930499e-16
0.0746268656716418,0.0450927368548067,0.0450926862382535,5.06165534069902e-08,0.000274060155687457,0.000273818722522962,2.41433164717419e-07,1.88677204304343e-26,1.13552815805916e-26,2.22044604932544e-16
0.0796019900497512,0.0482202587853492,0.0482202049119323,5.38734171301458e-08,0.000298813587474732,0.000298551291596712,2.62295878241563e-07,2.60020609938061e-26,1.56905801922421e-26,2.22044604935343e-16
0.0845771144278607,0.051363379296757,0.0513633221824873,5.71142699246074e-08,0.000324572099395048,0.000324288228957721,2.83870437549415e-07,3.58113302788921e-26,2.16676486923283e-26,2.22044604939175e-16
0.0895522388059702,0.0545221761872774,0.0545221158484067,6.03388708789177e-08,0.000351376501388723,0.000351070321135421,3.06180253524285e-07,4.92984582135101e-26,2.99082224232163e-26,2.22044604944422e-16
0.0945273631840796,0.0576967276431782,0.057696664096201,6.35469774717956e-08,0.000379269260429349,0.000378940010965007,3.29249464564487e-07,6.78424103304449e-26,4.12694867977542e-26,2.22044604951604e-16
0.0995024875621891,0.0608871122406829,0.0608870455023384,6.67383447464087e-08,0.000408294567805431,0.000407941464848586,3.53102957066404e-07,9.3339177454046e-26,5.69332418230047e-26,2.22044604961437e-16
0.104477611940299,0.0640934089479157,0.0640933390351897,6.99127261777344e-08,0.000438498409133889,0.000438120642747743,3.77766386368402e-07,1.28395627646315e-25,7.85288330708353e-26,2.22044604974898e-16
0.109452736318408,0.0673156971268554,0.0673156240569829,7.30698727219314e-08,0.000469928637216382,0.000469525371018438,4.0326619816513e-07,1.7659604043298e-25,1.0830263638885e-25,2.22044604993325e-16
0.114427860696517,0.0705540565353009,0.0705539803257676,7.62095335171686e-08,0.00050263504785385,0.00050220541820368,4.29629650391646e-07,2.42868574590395e-25,1.49351726170492e-25,2.22044605018548e-16
0.119402985074627,0.0738085673288446,0.0738084879973891,7.93314556962743e-08,0.000536669458739419,0.000536212573904059,4.56884835582216e-07,3.33989138289403e-25,2.05946033384235e-25,2.22044605053074e-16
0.124378109452736,0.0770793100628566,0.0770792276274726,8.24353842271419e-08,0.000572085791554636,0.000571600730851153,4.85060703705239e-07,4.59274178832794e-25,2.83972504276555e-25,2.22044605100333e-16
0.129353233830846,0.0803663656944786,0.0803662801734169,8.55210619266078e-08,0.00060894015739912,0.000608425970313866,5.14187085476413e-07,6.31533224944575e-25,3.91547461187269e-25,2.22044605165017e-16
0.134328358208955,0.0836698155846276,0.0836697269963982,8.85882295714735e-08,0.000647290945688964,0.000646746650973034,5.44294716152416e-07,8.68378572470837e-25,5.39860863318608e-25,2.22044605253549e-16
0.139303482587065,0.0869897415000099,0.0869896498633845,9.16366256070722e-08,0.000687198916664744,0.000686623501405163,5.75415259803052e-07,1.19402601979522e-24,7.44340287558856e-25,2.22044605374717e-16
0.144278606965174,0.0903262256151451,0.0903261309491587,9.46659866052357e-08,0.000728727297655689,0.000728119716321846,6.07581334064887e-07,1.6417707657085e-24,1.02625570677766e-24,2.22044605540546e-16
0.149253731343284,0.0936793505144,0.0936792528383532,9.7676046972861e-08,0.000771941883252529,0.000771301056717379,6.40826535371931e-07,2.25739161316213e-24,1.41493199481305e-24,2.22044605767491e-16
0.154228855721393,0.0970491991940323,0.0970490985274939,1.00666538632721e-07,0.000816911139547731,0.000816235954083289,6.75185464664137e-07,3.10383153519065e-24,1.95079930316954e-24,2.22044606078064e-16
0.159203980099502,0.100435855064245,0.100435751427054,1.03637191550821e-07,0.00086370631260827,0.000862995618854921,7.10693753570987e-07,4.26763315849034e-24,2.68959860995689e-24,2.22044606503066e-16
0.164179104477612,0.103839401951253,0.10383929536352,1.06587733431085e-07,0.000912401541352789,0.000911654153261949,7.47388091061943e-07,5.86778714833174e-24,3.70817990274654e-24,2.22044607084639e-16
0.169154228855721,0.107259924099354,0.107259814581464,1.09517889937405e-07,0.000963073975011991,0.000962288668761648,7.85306250564838e-07,8.06789818095402e-24,5.11249612298317e-24,2.22044607880433e-16
0.174129353233831,0.110697506173017,0.110697393745633,1.12427384221792e-07,0.00101580389535835,0.00101497940824103,8.24487117542013e-07,1.1092912389959e-23,7.04862440295437e-24,2.22044608969319e-16
0.17910447761194,0.114152233258976,0.114152117943039,1.15315937201932e-07,0.0010706748438988,0.00106980987318151,8.64970717516511e-07,1.5252116552385e-23,9.71796102563656e-24,2.22044610459187e-16
0.18407960199005,0.117624190868339,0.117624072685071,1.18183267630578e-07,0.00112777375423191,0.00112686695598758,9.06798244545504e-07,2.09707605221375e-23,1.33981706888611e-23,2.22044612497621e-16
0.189054726368159,0.121113464938699,0.121113343909607,1.21029092067793e-07,0.00118719108977924,0.00118624107768934,9.50012090119917e-07,2.88335360858433e-23,1.84720692186323e-23,2.22044615286498e-16
0.194029850746269,0.124620141836267,0.124620017983143,1.23853124617268e-07,0.00124902098710912,0.00124802633123685,9.94655872487869e-07,3.96443576533704e-23,2.54674441147073e-23,2.22044619101945e-16
0.199004975124378,0.128144308358008,0.128144181702931,1.26655077148374e-07,0.00131336140507987,0.00131232063061371,1.04077446638458e-06,5.45085569450802e-23,3.51119550661006e-23,2.22044624321633e-16
0.203980099502488,0.131686051733786,0.131685922299127,1.29434659101868e-07,0.0013803142800388,0.00137922586600587,1.08841403315498e-06,7.49458955139938e-23,4.8408825194353e-23,2.22044631462102e-16
0.208955223880597,0.135245459628527,0.13524532743695,1.3219157757316e-07,0.00144998568732284,0.00144884806527182,1.13762205125015e-06,1.03045949851489e-22,6.67411964362631e-23,2.22044641229785e-16
0.213930348258706,0.138822620144389,0.138822485218852,1.34925537492725e-07,0.00152248600931674,0.00152129756196989,1.18844734707546e-06,1.41681756128694e-22,9.20160041248136e-23,2.22044654590783e-16
0.218905472636816,0.142417621822939,0.142417484186698,1.37636241209771e-07,0.00159793011033495,0.001596689170209,1.24094012617939e-06,1.94803558270475e-22,1.26862336618496e-22,2.22044672866253e-16
0.223880597014925,0.146030553647348,0.14603041332396,1.40323388631014e-07,0.00167643751860447,0.00167514236659995,1.2951520047468e-06,2.67842693070553e-22,1.7490491337014e-22,2.22044697862811e-16
0.228855721393035,0.149661505044594,0.149661362057917,1.42986677498236e-07,0.00175813261563677,0.00175678147959561,1.35113604137773e-06,3.6826690680686e-22,2.41141128654952e-22,2.22044732050809e-16
