x	uextbe1	uapxbe1	ebe1	uextbe8	uapxbe8	ebe8	uextbe64	uapxbe64	ebe64
0.0099009900990099	0.00579076546286407	0.005790738166363	2.72965012954041e-08	2.7661248448009e-05	2.75606409118028e-05	1.00607536428249e-07	1.41857324916126e-28	1.52080422375975e-29	2.22044604925158e-16
0.0198019801980198	0.0116391500095335	0.0116390956179634	5.43915703154346e-08	5.76025958538205e-05	5.73943243730327e-05	2.08271481009862e-07	4.09187676302819e-28	4.45220946665899e-29	2.22044604925396e-16
0.0297029702970297	0.0175457269595187	0.0175456456810226	8.12784962944679e-08	9.00119893112595e-05	8.96885178104465e-05	3.2347150103501e-07	9.12972142947648e-28	1.01025992826821e-28	2.22044604925843e-16
0.0396039603960396	0.0235110753369543	0.0235109673865003	1.07950454242278e-07	0.000125092868272479	0.000124646149881874	4.46718390826809e-07	1.86235476080646e-27	2.09939303773355e-28	2.22044604926684e-16
0.0495049504950495	0.0295357799273626	0.0295356455268583	1.34400504503418e-07	0.000163065441573113	0.000162486885629295	5.78555944040011e-07	3.65146779379701e-27	4.19873656757253e-28	2.22044604928263e-16
0.0594059405940594	0.0356204313349788	0.035620270713389	1.60621590007681e-07	0.000204168069721799	0.000203448506799184	7.19562922837214e-07	7.02305411168833e-27	8.24529728450853e-28	2.2204460493123e-16
0.0693069306930693	0.0417656260406498	0.0417654394341141	1.86606535904077e-07	0.000248658761130931	0.000247788406003703	8.70355127450162e-07	1.33768138179662e-26	1.60451896809214e-27	2.22044604936804e-16
0.0792079207920792	0.0479719664603058	0.0479717541122594	2.12348046611799e-07	0.000296816791680758	0.000295785204111688	1.03158756929272e-06	2.53504839538592e-26	3.10797648798042e-27	2.22044604947274e-16
0.0891089108910891	0.0542400610040164	0.0542398231653115	2.37838705070825e-07	0.000348944457783112	0.000347740501032702	1.20395675063192e-06	4.79148841123226e-26	6.00594533066362e-27	2.2204460496694e-16
0.099009900990099	0.060570524135633	0.0605702610646627	2.63070970507595e-07	0.00040536897394905	0.000403980770895655	1.38820305361641e-06	9.04375316157809e-26	1.15918852738066e-26	2.22044605003877e-16
0.108910891089109	0.0669639764330253	0.0669636883958482	2.8803717729009e-07	0.000466444526771785	0.000464859413530811	1.58511324119568e-06	1.70571527556513e-25	2.23589869033431e-26	2.22044605073244e-16
0.118811881188119	0.0734210446489159	0.0734207319193839	3.12729532297995e-07	0.000532554498218107	0.000530758975146186	1.79552307214318e-06	3.21584168641645e-25	4.31129654066525e-26	2.22044605203503e-16
