x	uextbe1	uapxbe1	ebe1
0.0384615384615385	0.0156417906789788	0.0156433736946337	1.58301565508431e-06
0.0769230769230769	0.0303888017512945	0.0303919173984084	3.11564711410334e-06
0.115384615384615	0.0442059482303763	0.0442105397391335	4.59150875743719e-06
0.153846153846154	0.0570567694207374	0.0570627732123757	6.00379163850917e-06
0.192307692307692	0.0689033749753859	0.0689107202154887	7.34524010305437e-06
0.230769230769231	0.0797063888381055	0.0797149969653301	8.60812722483506e-06
0.269230769230769	0.0894248909876707	0.0894346752166736	9.78422900310694e-06
0.307692307692308	0.098016356897809	0.0980272216950683	1.086479725948e-05
0.346153846153846	0.105436594623341	0.105448435154516	1.18405311756026e-05
0.384615384615385	0.111639679419422	0.111652380966823	1.27015474017389e-05
0.423076923076923	0.116577885797153	0.116591323145827	1.34373486742612e-05
0.461538461538462	0.120201616915043	0.120215653705908	1.40367908650213e-05
0.5	0.122459331201855	0.122473819250246	1.44880483912146e-05
0.538461538461538	0.123297466102275	0.123312244680183	1.47785779083115e-05
0.576923076923077	0.122660358832601	0.122675253912803	1.48950802022485e-05
0.615384615384615	0.120490164029192	0.120504987489387	1.48234601955594e-05
0.653846153846154	0.116726768167853	0.116741316952835	1.45487849829151e-05
0.692307692307692	0.111307700627545	0.111321755867339	1.40552397944194e-05
0.730769230769231	0.104168041266828	0.104181367348626	1.33260817980485e-05
0.769230769230769	0.0952403243763099	0.0952526679679417	1.23435916320053e-05
0.807692307692308	0.0844544388649988	0.0844655278875627	1.10890225641369e-05
0.846153846153846	0.0717375245328835	0.0717470670800497	9.54254716638292e-06
0.884615384615385	0.0570138642762877	0.0570215474776719	7.6832013844591e-06
0.923076923076923	0.040204772066509	0.0402102608923955	5.488825886725e-06
0.961538461538462	0.0212284765360222	0.0212314125405773	2.93600455535808e-06
